account_id,email,signup_at,country,device_fingerprint,ip_block,status
1,user1@example.com,2026-02-24T00:00:00.000Z,TR,dev_13c0cdad,192.0.2.1,active
2,user2@inbox.example,2025-05-13T00:00:00.000Z,JP,dev_26576d49,192.0.2.2,active
3,user3@inbox.example,2026-04-25T00:00:00.000Z,JP,dev_42f1a115,192.0.2.3,flagged
4,user4@example.com,2025-07-06T00:00:00.000Z,JP,dev_b222a331,192.0.2.4,active
5,user5@example.com,2026-02-16T00:00:00.000Z,US,dev_16054c74,192.0.2.5,active
6,user6@example.com,2025-01-02T00:00:00.000Z,TR,dev_2e7d475d,192.0.2.6,active
7,user7@inbox.example,2025-08-21T00:00:00.000Z,JP,dev_9b8ec08e,192.0.2.7,active
8,user8@example.com,2024-11-19T00:00:00.000Z,GB,dev_07efa5c8,192.0.2.8,active
9,user9@mail.test,2025-07-13T00:00:00.000Z,GB,dev_99e61666,192.0.2.9,active
10,user10@inbox.example,2024-11-13T00:00:00.000Z,JP,dev_a67d474f,192.0.2.10,active
11,user11@example.com,2025-12-29T00:00:00.000Z,GB,dev_2f4f1c01,192.0.2.11,active
12,user12@mail.test,2025-04-20T00:00:00.000Z,DE,dev_0cf696fc,192.0.2.12,active
13,user13@example.com,2025-03-29T00:00:00.000Z,DE,dev_3fbb1393,192.0.2.13,active
14,user14@example.com,2024-12-15T00:00:00.000Z,GB,dev_59a23637,192.0.2.14,active
15,user15@example.com,2025-03-14T00:00:00.000Z,US,dev_becd8409,192.0.2.15,active
16,user16@inbox.example,2026-02-08T00:00:00.000Z,TR,dev_772e57b1,192.0.2.16,active
17,user17@mail.test,2026-04-01T00:00:00.000Z,US,dev_0125cbeb,192.0.2.17,active
18,user18@mail.test,2025-02-04T00:00:00.000Z,GB,dev_14399fa7,192.0.2.18,active
19,user19@example.com,2025-08-21T00:00:00.000Z,TR,dev_bc1b5634,192.0.2.19,active
20,user20@inbox.example,2026-01-14T00:00:00.000Z,JP,dev_2e4b8cf6,192.0.2.20,active
21,user21@mail.test,2025-10-17T00:00:00.000Z,DE,dev_56c9a0ae,192.0.2.21,active
22,user22@example.com,2024-11-21T00:00:00.000Z,US,dev_76a0ce4e,192.0.2.22,active
23,user23@example.com,2025-05-28T00:00:00.000Z,US,dev_cc2cbf8e,192.0.2.23,active
24,user24@inbox.example,2025-08-22T00:00:00.000Z,TR,dev_d501495e,192.0.2.24,active
25,user25@mail.test,2025-04-16T00:00:00.000Z,US,dev_55771c23,192.0.2.25,active
26,user26@inbox.example,2025-04-24T00:00:00.000Z,JP,dev_f6a35778,192.0.2.26,active
27,user27@example.com,2025-06-22T00:00:00.000Z,TR,dev_f5088064,192.0.2.27,active
28,user28@inbox.example,2025-05-06T00:00:00.000Z,GB,dev_7280115b,192.0.2.28,active
29,user29@example.com,2024-11-26T00:00:00.000Z,GB,dev_f556d428,192.0.2.29,active
30,user30@inbox.example,2025-09-26T00:00:00.000Z,JP,dev_b4a75df2,192.0.2.30,active
31,user31@example.com,2026-01-03T00:00:00.000Z,US,dev_414cc922,192.0.2.31,active
32,user32@inbox.example,2025-09-04T00:00:00.000Z,TR,dev_40205683,192.0.2.32,active
33,user33@example.com,2025-09-24T00:00:00.000Z,TR,dev_ec56fba4,192.0.2.33,active
34,user34@mail.test,2026-02-01T00:00:00.000Z,US,dev_39882df6,192.0.2.34,active
35,user35@mail.test,2025-01-27T00:00:00.000Z,DE,dev_c7c35402,192.0.2.35,active
36,user36@mail.test,2025-05-25T00:00:00.000Z,DE,dev_b758904d,192.0.2.36,active
37,user37@example.com,2025-02-10T00:00:00.000Z,GB,dev_2a4d120b,192.0.2.37,active
38,user38@mail.test,2026-01-22T00:00:00.000Z,DE,dev_3b77e668,192.0.2.38,active
39,user39@inbox.example,2024-12-25T00:00:00.000Z,TR,dev_94292a6b,192.0.2.39,active
40,user40@mail.test,2025-07-09T00:00:00.000Z,DE,dev_1e17416a,192.0.2.40,active
41,user41@inbox.example,2025-12-18T00:00:00.000Z,US,dev_88f9f82e,192.0.2.41,active
42,user42@example.com,2026-04-18T00:00:00.000Z,DE,dev_x4f2a9b1c7e,192.0.2.42,flagged
43,user43@inbox.example,2025-03-20T00:00:00.000Z,DE,dev_5d1a1af9,192.0.2.43,active
44,user44@example.com,2025-11-07T00:00:00.000Z,GB,dev_8527cea2,192.0.2.44,active
45,user45@mail.test,2025-06-23T00:00:00.000Z,TR,dev_ab5268fe,192.0.2.45,active
46,user46@mail.test,2025-10-02T00:00:00.000Z,DE,dev_708eadaf,192.0.2.46,active
47,user47@inbox.example,2025-06-24T00:00:00.000Z,US,dev_f61d6f28,192.0.2.47,active
48,user48@mail.test,2025-04-14T00:00:00.000Z,JP,dev_dea36d79,192.0.2.48,active
49,user49@mail.test,2025-11-17T00:00:00.000Z,GB,dev_38d8d46a,192.0.2.49,active
50,user50@mail.test,2025-07-02T00:00:00.000Z,TR,dev_9e2e847c,192.0.2.50,active
51,user51@mail.test,2025-01-11T00:00:00.000Z,US,dev_0651f856,192.0.2.51,active
52,user52@mail.test,2025-04-29T00:00:00.000Z,US,dev_0c761d6f,192.0.2.52,active
53,user53@mail.test,2025-03-28T00:00:00.000Z,US,dev_79c435d3,192.0.2.53,active
54,user54@mail.test,2025-11-05T00:00:00.000Z,US,dev_0ffeeb8a,192.0.2.54,active
55,user55@example.com,2024-11-14T00:00:00.000Z,DE,dev_d7f04a9f,192.0.2.55,active
56,user56@inbox.example,2025-09-14T00:00:00.000Z,GB,dev_cf55d2d,192.0.2.56,active
57,user57@inbox.example,2025-09-07T00:00:00.000Z,DE,dev_64dd8932,192.0.2.57,active
58,user58@example.com,2026-01-14T00:00:00.000Z,US,dev_71e47976,192.0.2.58,active
59,user59@mail.test,2025-02-27T00:00:00.000Z,JP,dev_33172404,192.0.2.59,active
60,user60@inbox.example,2025-05-24T00:00:00.000Z,US,dev_db383cdb,192.0.2.60,active
61,user61@mail.test,2025-02-04T00:00:00.000Z,GB,dev_3950a2c3,192.0.2.61,active
62,user62@inbox.example,2025-08-14T00:00:00.000Z,GB,dev_f2315132,192.0.2.62,active
63,user63@inbox.example,2025-01-23T00:00:00.000Z,TR,dev_b6985326,192.0.2.63,active
64,user64@inbox.example,2025-05-28T00:00:00.000Z,JP,dev_63927249,192.0.2.64,active
65,user65@mail.test,2025-12-19T00:00:00.000Z,GB,dev_b264b8f7,192.0.2.65,active
66,user66@example.com,2026-02-09T00:00:00.000Z,TR,dev_4e1773b8,192.0.2.66,active
67,user67@inbox.example,2025-05-02T00:00:00.000Z,JP,dev_e85ab398,192.0.2.67,active
68,user68@inbox.example,2026-03-02T00:00:00.000Z,GB,dev_db6bd606,192.0.2.68,active
69,user69@example.com,2026-03-21T00:00:00.000Z,JP,dev_7bc9debf,192.0.2.69,active
70,user70@inbox.example,2025-12-08T00:00:00.000Z,TR,dev_541cb4a3,192.0.2.70,active
71,user71@example.com,2025-01-06T00:00:00.000Z,GB,dev_e89b2ee5,192.0.2.71,active
72,user72@inbox.example,2025-01-26T00:00:00.000Z,TR,dev_60ef2cbe,192.0.2.72,active
73,user73@example.com,2025-08-16T00:00:00.000Z,GB,dev_8e94b6dd,192.0.2.73,active
74,user74@inbox.example,2025-08-19T00:00:00.000Z,JP,dev_4d6589d8,192.0.2.74,active
75,user75@example.com,2025-01-29T00:00:00.000Z,TR,dev_6e570894,192.0.2.75,active
76,user76@mail.test,2025-11-17T00:00:00.000Z,DE,dev_4a36333e,192.0.2.76,active
77,user77@inbox.example,2025-12-23T00:00:00.000Z,DE,dev_dfb6db0c,192.0.2.77,active
78,user78@example.com,2025-11-05T00:00:00.000Z,JP,dev_7a645076,192.0.2.78,active
79,user79@mail.test,2025-11-15T00:00:00.000Z,JP,dev_5948134b,192.0.2.79,active
80,user80@mail.test,2025-09-08T00:00:00.000Z,DE,dev_f3124acf,192.0.2.80,active
81,user81@mail.test,2025-04-22T00:00:00.000Z,GB,dev_3ebfcd31,192.0.2.81,active
82,user82@inbox.example,2025-01-24T00:00:00.000Z,TR,dev_15004886,192.0.2.82,active
83,user83@inbox.example,2025-11-14T00:00:00.000Z,GB,dev_08727b16,192.0.2.83,active
84,user84@example.com,2025-01-30T00:00:00.000Z,JP,dev_8d591f0f,192.0.2.84,active
85,user85@mail.test,2024-12-06T00:00:00.000Z,DE,dev_c8256236,192.0.2.85,active
86,user86@inbox.example,2024-12-22T00:00:00.000Z,DE,dev_2a51e477,192.0.2.86,active
87,user87@example.com,2025-04-22T00:00:00.000Z,TR,dev_5197a46d,192.0.2.87,active
88,user88@inbox.example,2026-02-10T00:00:00.000Z,JP,dev_x4f2a9b1c7e,192.0.2.88,active
89,user89@example.com,2025-10-10T00:00:00.000Z,US,dev_e2abc3f7,192.0.2.89,active
90,user90@example.com,2025-01-30T00:00:00.000Z,GB,dev_b49e2fee,192.0.2.90,active
91,user91@inbox.example,2025-04-07T00:00:00.000Z,TR,dev_29031e78,192.0.2.91,active
